fund_name,company,activity,activity_original,translation_check
EIT Innoenergy,NABRAWIND,Solutions tecnológicas avanzadas for the sector eólico,Soluciones tecnológicas avanzadas para el sector eólico,review
Sociedad de Desarrollo de Navarra (SODENA),Nabrawind Technologies,"Ingeniería sector eólico (uniones modulares, palas and torre autoizable)","Ingeniería sector eólico (uniones modulares, palas y torre autoizable)",review
Cardumen Capital,NAGISH,AI,Artificial Intelligence,ok
Bewater Asset Management,Nailted,Software of medición of ambiente laboral,Software de medición de ambiente laboral,review
Athos Capital,Napptive,Plataforma que facilita the despliegue of applications cloud,Plataforma que facilita el despliegue de aplicaciones en la nube,ok
Clave Mayor,"Naru Intelligence Solutions, S.L.",Development of Big Data and AI systems for biomedicine,Desarrollo de sistemas de Big Data e Artificial Intelligence para biomedicina,ok
Sherpa Capital Entidad Gestora SGEIC,Naturchem,Care and Higiene Personal,Care e Higiene Personal,ok
CVC Capital Partners,Naturgy,Energética,Energética,review
Neotec Capital Riesgo,Nauta Tech III,ICT-TMT,ICT-TMT,ok
Sherpa Capital Entidad Gestora SGEIC,NCA,Aditivos,Aditivos,ok
Elewit,Nearby,Edge Computing,Edge Computing,ok
Fundación Ship2B,Neki Creativos,Social (localizador personas),Social (localizador personas),ok
CVC Capital Partners,Neolith,Piedra Sinterizada,Piedra Sinterizada,ok
EDP Ventures España,Net2Grid,Management in tiempo real of data of consumer energético,Gestión en tiempo real de datos de consumer energético,review
Riverside España Partners,Netwatch Group,Proveedor of videovigilancia comercial and residential,Proveedor de videovigilancia comercial y residencial,ok
"Permira Asesores, S.L.U.",Neuraxpharm,Farmacéutica,Farmacéutica,review
Cardumen Capital,NEUREALITY,Chips artificial intelligence,Chips inteligencia artificial,ok
Bolsa Social,NeuroFit,Rehabilitación neurológica for recuperar daños cerebrales,Rehabilitación neurológica para recuperar daños cerebrales,review
Innova Venture,Nevatec,Ingeniería for the sector sanitario,Ingeniería para el sector sanitario,review
BeAble Capital,Next Gen Leather SL,"Prototipado, development and comercial of material similar al cuero","Prototipado, desarrollo y comercial de material similar al cuero",ok
4Founders Capital,Nexus Clips,Plataforma que optimiza the clips of Twitch for compartir in otras plataformas,Plataforma que optimiza los clips de Twitch para compartir en otras plataformas,ok
4Founders Capital,Nilo,Platform for digitalización of the RTM,Plataforma de digitalización de la RTM,review
BeAble Capital,NMFCB SL,"Prototipado, development and comercial of material for baterías","Prototipado, desarrollo y comercial de material para baterías",review
Repsol Energy Ventures,Nnaisense,Artificial intelligence and networks neuronales,Inteligencia artificial y redes neuronales,ok
K Fund,Nodal View,Technology,Technology,ok
Torsa Capital,Northcape,Furniture,Furniture,ok
Ysios Capital Partners,Northsea Therapeutics,Biotechnology,Biotechnology,ok
Bolsa Social,Nostoc Biotec,Fertilizantes and pesticidas naturales for the agricultura,Fertilizantes y pesticidas naturales para la agricultura,ok
GVC Gaesco|MCH Private Equity Investments,Noucor,Manufacturer and desarrollador of products pharmaceutical,Fabricante y desarrollador de products farmacéuticos,ok
Tresmares Capital,Nox,Marca independiente leader of pádel focused on the segmento premium,Marca independiente leader de pádel centrada en el segmento premium,review
Suma Capital,NPAW,Video analytics with plataforma SaaS,Video analytics con plataforma SaaS,ok
Artá capital,Nuadi,Manufacturer of componentes for sistemas of freno,Fabricante de componentes para sistemas de freno,ok
Asabys Partners,Nuage Therapeutics,Development of drugs targeting disordered proteins,Desarrollo de fármacos dirigidos a proteínas desordenadas,ok
"Murcia Emprende, S.C.R., S.A.",Nuevas Tecnologías Agroalimentarias,Biotechnology. Fruit and vegetable preservation,Biotechnology. Conservación frutas y verduras,ok
"Nazca Capital, S.G.E.I.C., S.A.",Nutris,Healthcare and Beauty - Nutracéutico,Healthcare y Beauty - Nutracéutico,review
Abac Capital,Nuzoa,Distribution of animal-health products,Distribución de products zoosanitarios,ok
HCapital,NWCC,Ceramics,Ceramics,ok
Swanlaab Venture Factory,Nymiz,Data privacy,Data privacy,ok
Prosegur Tech Ventures,Octopus App (Israel),Cybersecurity command-and-control platform,Ciberseguridad: plataforma de command & control,ok
JME Venture Capital|Swanlaab Venture Factory,Odilo,Edtech,Edtech,ok
Nexxus Iberia,OFG,Ingeniería of telecommunications,Ingeniería de telecommunications,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Ok Ticket S.L.,Solution digital for management of gastos derivados of travel profesionales,Solución digital para gestión de gastos derivados de viajes profesionales,ok
GVC Gaesco,Okticket,Management integral and automatizada of the notas of gastos,Gestión integral y automatizada de las notas de gastos,ok
Angels Capital,okticket,Platform for digitalización of gastos of Dietas of Trabajadores,Plataforma de digitalización de gastos de Dietas de Trabajadores,review
Elewit,OKTO,Grid Sensores IoT,Grid Sensores IoT,ok
ABE Capital Partners,OLEOFAT,Valorización of waste,Valorización de residuos,review
Sherpa Capital Entidad Gestora SGEIC,Omega Spices,Especias,Especias,ok
HCapital,Omniflow,Development and manufacturing of energy-based platforms for smart cities,Desarrollo y manufacturing de plataformas para Smart Cities basados en energy,ok
GPF Capital,OMO Retail Investments,Activos comerciales,Activos comerciales,ok
GVC Gaesco,On y Va Coffee,Specialty coffee shops,Cafeterías de especialidad,ok
Ysios Capital Partners|Asabys Partners,Ona Therapeutics,Development of a drug for metastatic cancer treatment,Desarrollo de un fármaco para el tratamiento de cáncer metastásico,ok
Ona Capital Privat,Onasud Energia,Photovoltaic solar plant,Photovoltaic solar plant,ok
Gestión de Capital Riesgo del País Vasco,Oncomatrix Biopharma,Biotechnology,Biotechnology,ok
FIT Inversión en Talento|Unirisco|NOSO CAPITAL SGEIC S.A,Oncostellae Biotech,Biotechnology,Biotechnology,ok
Xesgalicia,"Oncostellae, S.L.",Development of new drugs,Desarrollo de nuevos fármacos,ok
Bullnet Capital,Oncovision,Proveedor of equipos of medicina nuclear,Proveedor de equipos de medicina nuclear,ok
Gawa Capital Partners,One Puhunan,Microfinance,Microfinance,ok
"Nazca Capital, S.G.E.I.C., S.A.",One Shot Hotels,Chain hotel,Chain Hotelera,ok
Samaipata,Ontruck,Logistics platform,Logistics platform,ok
EIT Innoenergy,ORCHESTRA,Technology for the separación of CO2 económicamente competitiva,Technology para la separación de CO2 económicamente competitiva,review
GVC Gaesco,Orchestra Scientific,Filtro CO2,Filtro CO2,ok
GAEA Inversión,Orgoa,Management of siniestros and aprovisionamientos for companys aseguradoras of Healthcare,Gestión de siniestros y aprovisionamientos para compañías aseguradoras de Healthcare,ok
Asabys Partners,Orikine Bio,Platform for biología sintética of citocinas optimizadas (Foldikines®),Plataforma de biología sintética de citocinas optimizadas (Foldikines®),review
Angels Capital,Orquest,Software of management of personal,Software de gestión de personal,ok
Institut Catalá de Finances Capital (ICF),Oryzon,Services - Biotechnology,Services - Biotechnology,ok
Cardumen Capital,OSHI,FoodTech,FoodTech,ok
Alantra Private Equity,Ossa,Obra civil,Obra civil,ok
GVC Gaesco,Outvise,Grid/network Social Freelance sector TMT,Red Social Freelance sector TMT,ok
GVC Gaesco,Ouvo,Huevo líquido vegano,Huevo líquido vegano,review
"HUNOSA EMPRESAS, S.A., S.M.E.","OVIDA, S.L.",Geriatría,Geriatría,review
Sociedad de Desarrollo de Navarra (SODENA),OVUM SPF,Production of sustratos for manufacturing of vacunas,Producción de sustratos para manufacturing de vacunas,ok
Talde Gestión,P4Q Electronics (Private Equity),EMS,EMS,ok
Acurio Ventures,Paack,Service of entregas agendadas of compras online,Service de entregas agendadas de compras online,ok
GAEA Inversión,Padelnuestro,Plataforma tecnológica and of comercio sports of deportes of raqueta,Plataforma tecnológica y de comercio sports de deportes de raqueta,review
Gawa Capital Partners,Pahal,Microfinance,Microfinance,ok
Unigrains,Palacios,Platos preparados,Platos preparados,ok
MCH Private Equity Investments,Palacios Food & Beverage,Food Sector,Food Sector,ok
Sociedad de Desarrollo de Navarra (SODENA)|Unirisco,Palobiofarma,Biotechnology - Drug discovery,Biotechnology - Drug discovery,ok
Athos Capital|Axon Partners Group|Ona Capital Privat,Pangea Retail,Travel,Viajes,ok
Clave Mayor,Paopao Digital S.L.,Automatic invoice digitization,Digitalización automática de facturas,ok
Buenavista Equity Partners,Parasol Media,Audiovisual,Audiovisual,ok
Tikehau Investment Management (Sucursal en España),Parc Cugat (Add-on para cartera Sadena),Edificio offices,Edificio oficinas,ok
Ona Capital Privat,Parlem Telecom,Telecom,Telecom,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Parque Eólico de Belmonte,Generación of energy-Parque eólico,Generación de energy-Parque eólico,review
EQT Partners Spain,Parques Reunidos,Parques temáticos,Parques temáticos,review
Everwood Capital,Partida Logistics,Logistics,Logistics,ok
Institut Catalá de Finances Capital (ICF),Pastisart S.A.,Industrial - Food & Beverage,Industryl - Food & Beverage,ok
Proa Capital de Inversiones,Patatas Hijolusa,Fresh potato cultivation and commercialization,Cultivo y comercialización de patatas frescas,ok
Talde Gestión,Patia (Private Equity),Genómica,Genómica,review
Wayra|GVC Gaesco,Payflow,Fintech,Fintech,ok
Cardumen Capital,PEECH,AI,Artificial Intelligence,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Pelets Combustible de la Mancha,Manufacturing of pelets,Manufacturing de pelets,ok
Fundación Ship2B,Pensium,Social/Fintech (financiación pensionistas),Social / Fintech (financiación pensionistas),review
Q-Impact,Perfecta Finance,Financiación autoconsumer,Financiación autoconsumer,review
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Perfinor,Manufacturing and commercialization of Paneles for cubiertas,Manufacturing y comercialización de Paneles para cubiertas,ok
GPF Capital,Peris Costumes,Costume rental for films and TV series,Alquiler de vestuario para películas y series,ok
Repsol Energy Ventures,Perseo Biotechnology,Production of bioetanol,Producción de bioetanol,ok
Tresmares Capital,PFS,Proveedor of software and solutions legales for the management of crédito,Proveedor de software y soluciones legales para la gestión de crédito,review
"Nazca Capital, S.G.E.I.C., S.A.",Phibo,Implantes and prótesis dentales,Implantes y prótesis dentales,review
EIT Innoenergy,PHYNIX,Promotor of proyectos of hidrógeno verde,Promotor de proyectos de hidrógeno verde,review
True Global Ventures,Picture This,Web3 arte/media,Web3 arte/media,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Pina,Tableros of madera,Tableros de madera,ok
True Global Ventures,Pinktada,Web3 hotels/reservas,Web3 hotels/reservas,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Pixelshub, S.L.","Solutions tecnológicas basadas in realidad virtual, realidad aumentada and mixta","Soluciones tecnológicas basadas en realidad virtual, realidad aumentada y mixta",review
DeA Capital Alternative Funds Sucursal España,Pizzerías Carlos,Organized Restaurants,Organized Restaurants,ok
ABE Capital Partners,PLAIN CONCEPTS SL,IT,IT,ok
Espiga Equity Partners,Plastigaur,Manufacturing of film plástico destinado al envasado of agrupación and paletización,Manufacturing de film plástico destinado al envasado de agrupación y paletización,review
Abac Capital,Plating Brap,Recubrimiento electrolíticos sobre plástico,Recubrimiento electrolíticos sobre plástico,review
Sherpa Capital Entidad Gestora SGEIC,Play-off,Gyms,Gyms,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Playthe.net,Development of digital networks and digital signage,Desarrollo de redes digitales. Cartelería digital,ok
HIG Capital,Plaza Eboli,Centro Comercial,Centro Comercial,ok
EDP Ventures España,Plexigrid,SaaS integración networks and agregadores sistema eléctrico,SaaS integración redes y agregadores sistema eléctrico,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Plexigrid, S.L.",Solutions digitales for operadores of networks electricals,Soluciones digitales para operadores de redes eléctricas,ok
Tresmares Capital,Plymag,Production of fertilizantes ecológicos,Producción de fertilizantes ecológicos,review
Portobello Capital Gestión,Poligof,Manufacturing of backsheets for products higiénicos and healthcare,Manufacturing de backsheets para products higiénicos y sanitarios,review
Gestión de Capital Riesgo del País Vasco,Polimerbio,Biotecnologia,Biotecnologia,ok
Clave Mayor,Polimerbio S.L.,Development of medical applications,Desarrollo de aplicaciones médicas,ok
Kohlberg Kravis Roberts (España) Asesores,Portaventura,Parque of ocio,Parque de ocio,ok
Kartesia,Portik Group,Property manager in Iberia and Mexico,Administrador de fincas en Iberia y México,ok
HIG Capital,Portugal Resi Portfolio,Plataforma residential in Portugal,Plataforma residencial en Portugal,ok
HIG Capital,Praedium,Financiación nave logistics,Financiación nave logistics,review
Acurio Ventures,Preply,Marketplace global for enseñanza of idiomas,Marketplace global para enseñanza de idiomas,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Privacycloud, S.L.",Software for the management of data comerciales in base a principios of privacidad,Software para la gestión de datos comerciales en base a principios de privacidad,ok
Neotec Capital Riesgo,Pro A Capital,Generalist,Generalist,ok
"HUNOSA EMPRESAS, S.A., S.M.E.","PROA SUR, S.L.",Ingeniería and design,Ingeniería y diseño,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Proa Sur, S.L.","Production of instalaciones permanentes, museos and centers expositivos","Producción de instalaciones permanentes, museos y centers expositivos",ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Proage by LFL, S.L.",Sale of a línea of alimentos funcionales and complementos alimenticios,Venta de una línea de alimentos funcionales y complementos alimenticios,review
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Proasur,Producciones culturales museísticas,Producciones culturales museísticas,review
EDP Ventures España,Probely,Cybersecurity web vulnerability scanner,"Ciberseguridad, scanner web de vulnerabilidad",ok
Gawa Capital Partners,ProCrédito,Agro Microlending,Agro Microlending,ok
Bewater Asset Management,Product Hackers,Consulting to accelerate product or digital-business growth,Consultoría encaminada a acelerar el crecimiento del producto o negocio digital,ok
Proa Capital de Inversiones,Productos Alimenticios Gallo SL,"Manufacturer of pastas, salsas and harinas","Fabricante de pastas, salsas y harinas",ok
HCapital,proGrow,SaaS for Kaizen and metodologías of mejora industrial,SaaS para Kaizen y metodologías de mejora industryl,review
Institut Catalá de Finances Capital (ICF),Projectes Modulars Prefabricats SL,Services - real estate,Services - Inmobiliario,ok
Gawa Capital Partners,ProMujer,Agro Microlending,Agro Microlending,ok
Samaipata,Prophero,Technology platform,Technology platform,ok
Tresmares Capital,Proteos Biotech,Development of recombinant enzymes for dermo-aesthetic products,Desarrollo de enzimas recombinantes para producto dermoestéticos,ok
HIG Capital,Proyecto Bull,Cartera SAREB,Cartera SAREB,ok
Everwood Capital,Proyecto Cabra & Olivar,Energy,Energy,ok
Everwood Capital,Proyecto Corvera,Energy,Energy,ok
Everwood Capital,Proyecto Entrenucleos,Energy,Energy,ok
Everwood Capital,Proyecto Salsolito Mérida,Energy,Energy,ok
Everwood Capital,Proyecto Salsolito Sevilla,Energy,Energy,ok
Everwood Capital,Proyecto Tena,Energy,Energy,ok
Everwood Capital,Proyecto Troina,Energy,Energy,ok
4Founders Capital,Pruvo,Plataforma que ofrece services of re-pricing of hotels for B2B and B2C,Plataforma que ofrece services de re-pricing de hotels para B2B y B2C,ok
Q-Impact,Psicospaço,Healthcare Mental,Healthcare Mental,ok
HIG Capital,Puerto de Indias,Beverages espirituosas,Bebidas espirituosas,ok
Swanlaab Venture Factory,Pulpomatic,Fleet Operations management,Fleet Operations Management,ok
MCH Private Equity Investments,Pumping Team,Proveedor of bombeo of hormigón,Proveedor de bombeo de hormigón,review
HCapital,Puntes,Packaging Flexografia,Packaging Flexografia,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Puy Du Fou España,Parque turístico with espectáculos,Parque turístico con espectáculos,review
EDP Ventures España,PV Complete,Software of design solar,Software de diseño solar,ok
GAEA Inversión,QEV Technologies,Designer and manufacturer of electric vehicles,Diseñador y fabricante de vehículos eléctricos,ok
Creas Impacto Global SGEIC,QIDA,Home care for chronic and complex patients,Atención a domicilio para pacientes crónico y complejos,ok
Repsol Energy Ventures,Qilimanjaro,Computación cuántica,Computación cuántica,review
Adara Ventures,Quality Clouds,Cloud Application,Cloud Application,ok
True Global Ventures,Quantumrock,AI/data analytics for asset management,AI/Data analytics para asset management,ok
Adara Ventures|K Fund,Quibim,Medical imaging,Medical imaging,ok
Bolsa Social,Quida,Services of home care quality,Services de atención domiciliaria de calidad,ok
ABE Capital Partners,QUIMUNSA,Sanidad ambiental,Sanidad ambiental,ok
Bullnet Capital,Quside,Generación cuántica of números aleatorios,Generación cuántica de números aleatorios,review
Cardumen Capital,RAFTT,Developer tools,Developer tools,ok
bd-capital,Rakit,Pistas of tenis and of pádel,Pistas de tenis y de pádel,review
Gestión de Capital Riesgo del País Vasco,Ramondin,Manufacturing of cápsulas of estaño and otros materials for botellas,Manufacturing de cápsulas de estaño y otros materiales para botellas,review
Institut Catalá de Finances Capital (ICF),Ray Electric Motors,Industrial - mobileidad,Industryl - Movilidad,ok
Proa Capital de Inversiones,RE.LE.VI,Products for the home,Productos para el home,ok
Acurio Ventures,Rebag,Sale of bolsos of luxury of segunda mano,Venta de bolsos de lujo de segunda mano,ok
Tresmares Capital,RecaFacil,Marketplace B2B for compra sale of recambios of automotive new and usados,Marketplace B2B para compra venta de recambios de automotive nuevos y usados,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Recauchutados del Cantábrico,Manufacturing of neumáticos recauchutados,Manufacturing de neumáticos recauchutados,review
Seaya,Receeve,Plataforma SaaS of automatización of cobros basada cloud,Plataforma SaaS de automatización de cobros basada en la nube,review
Caixa Capital Risc,RECOGNAI INC -ARGILLA-,ICT,ICT,ok
Tresmares Capital,Recoletas,Grupo hospitalario referente of the sector sanitario privado Spanish,Grupo hospitalario referente del sector sanitario privado español,ok
Samaipata,Recontour,Technology platform,Technology platform,ok
Repsol Energy Ventures,Recreus Industries,Impresión 3D,Impresión 3D,review
Sabadell Venture Capital,Redpoints,Solution for combatir the piratería online,Solución para combatir la piratería online,review
Prosegur Tech Ventures,Reflekt (Alemania),Augmented Reality: industrial AR application,Augmented Reality: Aplicación de AR a nivel industryl,ok
Acurio Ventures,Refurbed,Marketplace of products reacondicionados,Marketplace de products reacondicionados,ok
Riverside España Partners,Reima,Manufactura of ropa of children in the región Nórdica,Manufactura de ropa de niños en la región Nórdica,review
BeAble Capital,Reinforce 3D,"Prototipado, development and comercial of material imprimible 3D","Prototipado, desarrollo y comercial de material imprimible 3D",ok
Kohlberg Kravis Roberts (España) Asesores,Reintel,Telecommunications,Telecommunications,ok
EDP Ventures España,Relectrify,Management of batería of Li-Ion,Gestión de batería de Li-Ion,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Reliquiae España, S.L.",Design and manufacturing of luxury leather goods,Diseño y manufacturing de artículos de marroquinería de lujo,ok
Cinven Spain,Restaurant Brands Iberia,Operador of restaurants,Operador de restaurants,ok
Athos Capital,Restb.ai,Reconocimiento of imágenes for real estate,Reconocimiento de imágenes para real estate,review
Samaipata,Retraced,Data of the chain of suministro of fashion,datos de la cadena de suministro de moda,ok
Seaya,RobinFood,FoodTech company,Compañía de FoodTech,ok
Q-Impact,Robotix,Education STEAM,Education STEAM,ok
Repsol Energy Ventures,Rocsole,Monitorización conductos,Monitorización conductos,review
ACON Investments,Romar Global Care,"Manufacturer and distribuidor of products of personal care, and of the home","Fabricante y distribuidor de products de care personal, y del home",ok
Alantra Private Equity,ROQ,Manufacturer of machinery of impresión textil,Fabricante de maquinaria de impresión textil,review
DeA Capital Alternative Funds Sucursal España,Roscio,Comidas preparadas,Comidas preparadas,ok
EIT Innoenergy,ROUTAL,Solutions of IA and big data for the optimización of rutas.,Soluciones de IA y big data para la optimización de rutas.,review
HCapital,Routal,Planificador of rutas of reparto,Planificador de rutas de reparto,ok
Tresmares Capital,Rujamar,Leader nacional in the production of huevos of sistemas alternativos,Líder nacional en la producción de huevos de sistemas alternativos,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Ruraltech (Vacapop),Aplicacion digital rural,Aplicacion digital rural,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),S.A.T. Pistacuenca,Commercialization pistachos,Comercialización pistachos,ok
Portobello Capital Gestión,Sabater,Food & Beverage,Food & Beverage,ok
Ares Management,Sabseg,Brokers of insurance,Brokers de insurance,ok
Miura Partners,Sabseg Group,Leading independent insurance broker in the Iberian market,Correduría de insurance independiente leader en el mercado ibérico,ok
EIT Innoenergy,SADAKO,Solution robótica based on IA aplicada a the management of waste.,Solución robótica basada en IA aplicada a la gestión de residuos.,review
Clave Mayor,Safe Load testing technologies SL,Optimización of distribution of packaging,Optimización de distribución de envases,review
BeAble Capital,Safeloc Systems SL,"Prototipado, development and comercial of equipos (Geolocalizadores)","Prototipado, desarrollo y comercial de equipos (Geolocalizadores)",ok
Swanlaab Venture Factory,Sales Layer Tech,Product Information management,Product Information Management,ok
ACON Investments,Salesland,Management of fuerza of Ventas,Gestión de fuerza de Ventas,ok
Alantra Private Equity,Salto Systems,Sistemas of control of acceso,Sistemas de control de acceso,ok
Aurica Capital Desarrollo|Tresmares Capital,Samy Road,Grupo integrado verticalmente referente in the sector of the marketing digital,Grupo integrado verticalmente referente en el sector del marketing digital,ok
Corpfin Capital,Sanicen,Design and distribution of hygiene and protection gloves,Diseño y distribución de guantes de higiene y protección,ok
Cardumen Capital,SAOLA,AI,Artificial Intelligence,ok
Kartesia,SAS,Production of solutions agrícolas sustainables for the care nutricional,Producción de soluciones agrícolas sostenibles para el care nutricional,review
Enagás Emprende,Satlantis,Production of cámaras ópticas for the satélites of observación,Producción de cámaras ópticas para los satélites de observación,review
Artá capital,Satlink,Solutions tecnológicas for the sector marítimo,Soluciones tecnológicas para el sector marítimo,review
True Global Ventures,Sato,Green Mining,Green Mining,ok
Bolsa Social,SATT,Estudio of arquitectura and promotora inmobiliar sustainable,Estudio de arquitectura y promotora inmobiliar sostenible,ok
Seaya,Savana,Platform for IA of apoyo médico,Plataforma de IA de apoyo médico,review
Suma Capital,SC Producción Renovable,Development of two 85MW photovoltaic plants,Desarrollo de dos plantas fotovoltaicas de 85MW,ok
Suma Capital,SC Valorizaciones Agropecuarias,Planta of cogeneración with waste of purines,Planta de cogeneración con residuos de purines,review
Suma Capital,SC Zero Waste Biopower,8 cogeneration plants for treating olive waste and slurry,8 plantas de cogeneración para tratamiento de residuos de aceituna y purines,ok
Institut Catalá  de Finances Capital (ICF)|Athos Capital,Science Bits,Materials digitales of ciencias for education secundaria,Materiales digitales de ciencias para education secundaria,ok
Ona Capital Privat,Sciense Bits,EdTech,EdTech,ok
EIT Innoenergy,SCOOBIC,Electric vehicles of última milla,Vehículos eléctricos de última milla,review
4Founders Capital,Scoolinary,Sale of cursos online of cocina for profesionales,Venta de cursos online de cocina para profesionales,ok
Acurio Ventures,Screenloop,"Software for búsqueda, análisis and formación for contrataciones","Software para búsqueda, análisis y formación para contrataciones",review
Bolsa Social,Screenly,Management of salas of cinema with foco social,Gestión de salas de cinema con foco social,ok
Enagás Emprende,SEaB,Promoción of proyectos of production biogas mediante waste usando digestores,Promoción de proyectos de producción biogas mediante residuos usando digestores,review
MCH Private Equity Investments,Seabery,Solutions educativas by simulación with realidad aumentada,Soluciones educativas por simulación con realidad aumentada,review
Neotec Capital Riesgo,Seaya TMT,,,ok
Realza Capital,Secom,Luminarias LED,Luminarias LED,ok
Cardumen Capital,SECOND NATURE,AI,Artificial Intelligence,ok
4Founders Capital,Securitize,Platform for compliance for tokenizar activos,Plataforma de compliance para tokenizar activos,ok
Landon Investments,Sedal,Componentes grifería,Componentes grifería,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Sedes, S.A.",Constructora,Constructora,ok
Acurio Ventures|Adara Ventures,Seedtag,Advertising technology,Advertising Technology,ok
Repsol Energy Ventures,SeeO2,Production hidrógeno verde,Producción hidrógeno verde,review
Angels Capital,Sego Finance,Plataforma digital of products of ahorro and inversión for inversores minoristas,Plataforma digital de products de ahorro e inversión para inversores minoristas,review
Institut Catalá de Finances Capital (ICF),Semillas Batlle S.A.,Industrial - Agricultura,Industryl - Agricultura,ok
Bolsa Social,Sepia,Fashion innovadora and sustainable,Moda innovadora y sostenible,ok
EDP Ventures España,Sepio,Sistema of cybersecurity for protegerse of ataques based on hardware,Sistema de ciberseguridad para protegerse de ataques basados en hardware,ok
"Nazca Capital, S.G.E.I.C., S.A.",Seprotec,"Services of traducción, interpretación and management of propiedad industrial","Services de traducción, interpretación y gestión de propiedad industryl",review
Enagás Emprende,Sercomgas,Services of backoffice a comercializadoras of gas,Services de backoffice a comercializadoras de gas,ok
Landon Investments,Sercotel,Hotels urbanos,Hotels urbanos,ok
Miura Partners,Serpis,Leader of mercado in aceitunas quality,Líder de mercado en aceitunas de calidad,ok
Portobello Capital Gestión,Serveo,Facility management,Facility Management,ok
Sociedad para el Desarrollo Industryl de Aragón (SODIAR),Setroc Manufacturas,Taquillas inteligentes,Taquillas inteligentes,ok
Wayra|Athos Capital,Shakers,Marketplace for freelance,Marketplace para freelance,ok
Bewater Asset Management,Sheetgo,Software of management of hojas of cálculo cloud,Software de gestión de hojas de cálculo en la nube,review
Cardumen Capital,SHIFTERS AI ROBOTICS,ROBOTS,ROBOTS,ok
Asabys Partners,Sidekick,Mobile App for mejorar the treatment of diseases crónicas,Movil App para mejorar el tratamiento de enfermedades crónicas,review
ACON Investments,Siex 2001,Seguridad contra incendios,Seguridad contra incendios,ok
EIT Innoenergy,SILBAT,Stationary grid energy storage,Almacenamiento energético estacionatio para la red,ok
Sociedad para el Desarrollo Industryl de Aragón (SODIAR),Silmor,Sílices and caolines,Sílices y caolines,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Sistemas Especiales de Metalización, S.A. (SEM)",Treatments of all types of superficies,Tratamientos de todo tipo de superficies,ok
Swanlaab Venture Factory,Situm,Indoor Positioning,Indoor Positioning,ok
Unirisco|Xesgalicia|Prosegur Tech Ventures,Situm Technologies,Seguridad: localización in interiores,Seguridad: localización en interiores,review
Tresmares Capital,Skerritts (UK),Asesoramiento financiero independiente,Asesoramiento financiero independiente,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Skydweller,Manufacturing of drones,Manufacturing de drones,ok
Acurio Ventures,Skyfri,Plataforma operativa for activos solares,Plataforma operativa para activos solares,ok
Repsol Energy Ventures,SmarkIA,Management energética,Gestión energética,review
Kartesia,Smart Industry Solutions,Software of management for the sector industrial,Software de gestión para el sector industryl,ok
Swanlaab Venture Factory,Smart Protection,Cybersecurity,Cybersecurity,ok
Clave Mayor,Smileat SL,Food & Beverage infantil ecológica,Food & Beverage infantil ecológica,review
4Founders Capital,Snab,Platform for automatización of pagos and cobros B2B,Plataforma de automatización de pagos y cobros B2B,review
Sabadell Venture Capital,Snappy Research,Herramienta of encuestas 100% mobile for market reserarch,Herramienta de encuestas 100% móvil para market reserarch,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),Sociedad de Garantía Recíproca de Asturias S.G.R. (ASTURGAR),Sociedad of garantía recíproca,Sociedad de garantía recíproca,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Sociedad para el desarrollo de las comarcas Mineras, S.A.",Promoción industrial,Promoción industryl,review
Renertia Investment Company,Sol Mariño S.L.,Photovoltaic power generation,Photovoltaic power generation,ok
EQT Partners Spain,Solaer,Energys Renewables,Energys Renewables,ok
EIT Innoenergy,SOLAQUA,Solution integral of riego for the agricultura,Solución integral de riego para la agricultura,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Solar Bright,Limpieza of equipos solares,Limpieza de equipos solares,ok
Renertia Investment Company,"Solar Installation Arericsol VI, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
BeAble Capital,Solarcrop SL,"Prototipado, development and comercial of material relacionado with the energias","Prototipado, desarrollo y comercial de material relacionado con las energias",ok
